category,rank,offer_id,title,price_cny,booked_count,shop
服装鞋帽,1,593471103479,爆款日本尚品安心一代无痕内衣一片式女冰丝美背运动瑜伽背心文胸,6.93,152054,美上内衣
服装鞋帽,2,595292068120,爆款安心二代无痕冰丝内衣女士性感吊带美背裹胸睡眠运动女生文胸,6.93,86567,美上内衣
服装鞋帽,3,656949171254,跨境爆款一字围无肩带抹胸无痕冰丝美背裹胸女防走光隐形排扣内衣,4.8,10664,莱客针织6688
服装鞋帽,4,909899820174,夏季蕾丝美背文胸一体吊带女带胸垫内衣女内搭薄款打底吊带背心,11.65,10055,雄兴针织厂
服装鞋帽,5,564733970348,爆款拉拉女神胸贴芒果型隐形文胸 勾扣透气无钢圈聚拢内衣批发,3,9187,汕头内衣实业
服装鞋帽,6,1030088243955,木子恋春夏新款高腰韩版韩系风百搭半身裙女休闲百搭显瘦中长裙女,59.99,5990,木子恋针织内衣厂
服装鞋帽,7,1030953089659,2026春夏款蕾丝木耳边白色蛋糕半身裙女a字宽松显瘦中长大摆裙,12.99,3316,安婷露针织厂
服装鞋帽,8,704382183105,莫代尔吊带裙内搭长款宽松防透内衬裙白色打底背心大码连衣裙女夏,11.9,2760,青岛衣美雅服装有限公司
服装鞋帽,9,655606525124,白衬衫女长袖新款商务职业正装短袖房地产显瘦衬衣女装工作服批发,23.8,2637,义乌市众想服饰厂
服装鞋帽,10,988112681763,2025爆款休闲裤男士春秋新款宽松直筒阔腿爸爸装运动加绒长裤子男,21.5,1997,乐尹服装厂
户外运动,1,708568793732,健身弹力带引体向上阻力带力量训练弹力绳男女瑜伽伸展辅助拉力带,6.15,29285,worthdefencesports
户外运动,2,995721019934,可调节臂力器男士锻炼手臂肌肉胸肌训练器材多功能健身弹簧臂力棒,21,24674,义乌市合颐体育用品有限公司
户外运动,3,616139671677,抗阻弹力带男女力量健身运动瑜伽拉力带引体向上辅助弹力带阻力带,4,19084,calliven健身器材
户外运动,4,681191167579,厂家批发瑜伽棍形体开背神器站姿驼背矫正十字架儿童美肩背训练器,5.13,16146,义乌市百货码头日用品厂
户外运动,5,901063801727,可调节磅数8字拉力器女开肩美背六股家用健身弹力带8字练背拉力绳,4,14689,bojie229917
户外运动,6,571085462954,折叠瑜伽垫跨境专业加厚学生午睡午休垫yogamat 瑜伽垫便携式,29,13297,瑜之美运动用品有限公司
户外运动,7,807210454570,魔术头巾运动围脖套钓鱼户外防晒男面巾夏脖子全脸面罩男士骑行女,1,12966,欢彩大百货4134
户外运动,8,853328343272,折叠瑜伽垫防滑加宽加厚健身垫家用静音加宽加厚运动垫批发,24.6,8525,米友电器有限公司
户外运动,9,748741347361,平衡垫健身垫子瑜伽垫健腹轮专用跪垫平板支撑核心训练加厚泡沫子,26.24,7129,义乌清秀文体用品有限公司
户外运动,10,613731998188,全棉地垫爬爬垫北欧爆款榻榻米垫野餐垫瑜伽垫子厂家直销代发跨境,72,6630,美之然家纺有限公司
母婴用品,1,587191190465,厂家直销婴儿背带腰凳可收纳宝宝腰凳横抱式前后两用双肩抱娃神器,49,104255,西西里贸易
母婴用品,2,657879358830,纯棉小方巾六层高密纱布巾新生儿童宝宝口水巾婴幼儿洗脸毛巾批发,1.3,90776,东瑞纺织123
母婴用品,3,681317957312,爆款72段彩虹莫兰迪百变魔尺儿童益智力折叠变形魔方地摊热卖批发,3.9,85091,玩具启龙
母婴用品,4,737085733647,婴儿洗脸盆宝宝专用脸盆折叠盆新生婴幼儿童小盆子可折叠母婴用品,3.5,28477,衢州次元时代源头工厂
母婴用品,5,644381036798,ins食品级硅胶围兜婴儿食饭兜宝宝口水围嘴防水防脏儿童口水兜夏,7,25393,中国简米
母婴用品,6,771415240149,宝宝开裆裤纯棉薄款婴儿七分裤睡裤小童空调裤子夏季宽松透气裤子,6.9,21693,安阳市北关区缤丽猫制衣部
母婴用品,7,744132496801,抖音同款激光剑星球大战伸缩发光剑二合一七彩闪光荧光棒地摊玩具,3.9,16926,胖墩墩玩具
母婴用品,8,561811378568,橡胶蛇75cm玩具蛇 热卖仿真整蛊吓人玩具 创意软胶蛇地摊玩具蜥蜴,0.89,13835,义乌市鸿文玩具厂
母婴用品,9,836169321642,新款学霸学渣磁力安静书学校磁性贴强磁粘贴创意玩具女孩礼物diy,15,11235,童鑫盛商行
母婴用品,10,788653840838,新生婴儿90*90加大包单四季款初生宝宝纯棉襁褓被子包巾产房用品,16.9,10431,汤阴锦果果制衣有限公司
文具办公,1,645374523107,批发a5b5商务笔记本定制加厚会议本子高颜值学习用品a6笔记本本子,3.79,56442,龙港市企佳包装厂
文具办公,2,722709416802,莫兰迪色长尾夹金属票据资料夹子文具试卷铁夹燕尾夹办公用品批发,2.9,39562,tzs518518
文具办公,3,696271154684,彩色长尾夹办公小夹子燕尾夹金属手账黑色票据夹文具批发文件夹子,2.7,29416,中昌文化用品
文具办公,4,704519192200,A4批发透明档案袋塑料文件袋办公文具用品试卷资料收纳可印图logo,0.27,27159,义乌市质做创品文具
文具办公,5,762073193401,办公软抄本笔记本a5加厚60页商务记事本日记本学生本子软面抄批发,0.28,24441,火沃电子商务商行
文具办公,6,669869147043,文件夹子办公彩色长尾夹小号金属燕尾夹厂家批发试卷文具票据夹,2.75,16900,简淘办公文具批发
文具办公,7,743666306556,花型轮廓笔曲线笔手帐曲线型花色笔手账滚轮花边笔手抄报专用笔,3.28,16485,光樱下文化用品
文具办公,8,607570035039,双头记号荧光笔学生用彩色勾线笔标记笔手账文具双色笔跨境热销,1.55,10128,youyou19881020
文具办公,9,949379522679,彩色闪光啫喱笔水彩笔荧光笔学生手帐专用儿童涂鸦可叠色记号笔,2.6,9502,吉钰文具源头工厂
文具办公,10,670436466761,爆款透明便利贴PET防水粘性好手账便签纸创意韩国ins风学习便签本,0.72,2790,驰程文具
宠物用品,1,669081307815,ishtar猫条批发猫零食成猫幼猫营养条宠物食品湿粮包一件代发,0.18,111922,山东咪克宠物食品厂
宠物用品,2,785479353456,小蜜蜂猫咪牵引绳工字型防挣脱外出遛猫绳网红可调节胸背带猫绳子,3.2,95965,达菲宠物
宠物用品,3,667920814490,多猫家庭猫舍猫粮全价猫粮鲜肉低敏猫粮试吃厂家批发大袋10kg20斤,29.61,83780,山东笑宠宠物用品有限公司
宠物用品,4,940753160510,宠物梳子一键按压去浮毛褪毛梳狗狗猫咪除毛梳专用猫梳子宠物用品,1.61,40019,义乌市迪尼日用品厂
宠物用品,5,562386609701,猫粮现货批发 鲜肉粮营养全期通用  5斤 厂家批发代发,75,28660,全双宠物用品
宠物用品,6,667649707220,全价猫粮批发全阶适配高性价比低敏易消化猫舍多猫囤货力荐20kg,22.41,27719,小顽童生物
宠物用品,7,811711314913,猫咪零食猫条整箱批发猫粮孕猫营养罐头成猫粮湿包,0.14,26625,樱闲宠物食品
宠物用品,8,864785270212,宠物用品反光牵引绳多色尼龙圆绳大中型防爆冲狗绳泡棉手柄牵引带,2.95,23046,乐檬宠物用品
宠物用品,9,669049021260,宠物吸水毛巾批发多功能加厚鹿皮巾狗狗猫咪清洁速干浴巾不沾毛,2.7,16577,金华舒邦日用品
宠物用品,10,971396927272,狗狗剪毛专用剪刀宠物美容剪刀修毛剪刀套装弯剪泰迪剪狗毛神器,5.9,14364,sw森威宠物
美妆护肤,1,820918604626,修眉刀片碳钢刮眉刀片波纹刀片一次性修眉刀纹绣眉刀美妆工具,0.49,68060,麦欧丽彩妆汇
美妆护肤,2,563177676893,达人爆款牛奶洁面乳 男女专用正品深层清洁不紧绷氨基酸牛奶洗面,2.5,37133,广州名美化妆品有限公司
美妆护肤,3,657784383771,芙诗婷维E尿素霜护肤霜 补水保湿滋润皮肤呵护肌肤面霜秋季爆款,2.79,23250,广州市芙诗婷化妆品厂
美妆护肤,4,669824675005,源头工厂顶基大马士革玫瑰纯露补水保湿爽肤水抖音爆款护肤品批发,19,21432,顶基生物科技
美妆护肤,5,757109494905,抖音爆款氨基酸洁面乳120g补水控油清洁卸妆洁面泡洗面奶厂家批发,1.2,17089,禾玺精细化工
美妆护肤,6,604824414750,厂家供应不锈钢眉毛夹美妆斜口拔眉毛修眉工具多功能镊子化妆眉夹,0.82,12042,飞亿饰品有限公司
